title,imdb_id,poster_url,language,original_title,overview,release_date,tagline,length,rating,num_votes
Back to the Future,tt0088763,https://image.tmdb.org/t/p/w500//xlBivetfrtF84Yx0zISShnNtHYe.jpg,en,,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,He's the only kid ever to get into trouble before he was born.,116,8.5,1056763
"Inner Worlds, Outer Worlds",tt2415372,https://image.tmdb.org/t/p/w500//kg1c2AS8KXAE73XWzot1cslnG5t.jpg,en,,"There is one vibratory field that connects all things. It has been called Akasha, Logos, the primordial OM, the music of the spheres, the Higgs field, dark energy, and a thousand other names throughout history. The vibratory field is at the root of all true spiritual experience and scientific investigation. It is the same field of energy that saints, Buddhas, yogis, mystics, priests, shamans and seers, have observed by looking within themselves. Many of history's monumental thinkers, such a Pythagoras, Kepler, Leonardo DaVinci, Tesla, and Einstein, have come to the threshold of this great mystery. It is the common link between all religions, all sciences, and the link between our inner worlds and our outer worlds.",2012-12-19,,122,8.5,1857
Whiplash,tt2582802,https://image.tmdb.org/t/p/w500//9E949mB5NEq3BZu9nHQgWF2uGGN.jpg,en,,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,The road to greatness can take you to the edge.,107,8.5,716211
Grave of the Fireflies,tt0095327,https://image.tmdb.org/t/p/w500//fs9rvMCDCqZMr6AGciakP0Ds7og.jpg,ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,,89,8.5,234774
Cinema Paradiso,tt0095765,https://image.tmdb.org/t/p/w500//8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg,it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,"A celebration of youth, friendship, and the everlasting magic of the movies.",124,8.5,230370
National Theatre Live: Coriolanus,tt3313066,https://image.tmdb.org/t/p/w500//92RGxBuuOOBOzMfk0RUiePdkM27.jpg,en,,"When an old adversary threatens Rome, the city calls once more on her hero and defender: Coriolanus. But he has enemies at home too. Famine threatens the city, the citizens’ hunger swells to an appetite for change, and on returning from the field Coriolanus must confront the march of realpolitik and the voice of an angry people.",2014-01-29,,155,8.5,1787
Thalapathi,tt0101649,https://image.tmdb.org/t/p/w500//dpF1Ck1UvpW0ItT1EoX0xNYEhS8.jpg,ta,தளபதி,"Surya is an orphan raised in a slum. He finds a friend in the local Godfather. They rule the town and forms a parallel government. Things are well until new district collect, step -brother of Surya takes charge. Surya finds his mom and decides to surrender.",1991-11-05,,155,8.5,10071
Bey Yaar,tt3590482,https://image.tmdb.org/t/p/w500//8CpqWJ6sQ7o0wS2prgI5RWzpeZO.jpg,gu,,"In the desperation to earn quick money, two best friends put their moral values at stake and end up losing their pride and dignity. They then choose a wrong path to set things right and snatch back what was rightfully theirs.",2014-08-29,,150,8.5,1881
Mother,tt0102369,https://image.tmdb.org/t/p/w500//yxMCZqpn6W8JkZnAcmw7PQCsm6r.jpg,fa,مادر,The film progresses along two distinct but interwoven series of events. The first series involves young members of a family who have gathered round their old mother and revive their common childhood memories. the second line focuses on the old woman's preparations for her last journey and her joyous cooperation in arranging for the ceremonies that are to be observed after her death.,1990-12-31,,108,8.5,4114
The Salt of the Earth,tt3674140,https://image.tmdb.org/t/p/w500//jRmQNj8NacAHJnzwfvFvglKSGB6.jpg,fr,Le sel de la terre,"During the last forty years, the photographer Sebastião Salgado has been travelling through the continents, in the footsteps of an ever-changing humanity. He has witnessed the major events of our recent history: international conflicts, starvations and exodus… He is now embarking on the discovery of pristine territories, of the wild fauna and flora, of grandiose landscapes: a huge photographic project which is a tribute to the planet's beauty. Salgado's life and work are revealed to us by his son, Juliano, who went with him during his last journeys, and by Wim Wenders, a photographer himself.",2014-09-27,A Journey With Sebastião Salgado,109,8.5,19887
Terminator 2: Judgment Day,tt0103064,https://image.tmdb.org/t/p/w500//weVXMD5QBGeQil4HEATZqAkXeEc.jpg,en,,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",1991-07-03,It's nothing personal.,137,8.5,994559
Earth's Most Beloved Son,tt0106534,https://image.tmdb.org/t/p/w500//eoXTcvJnAKUqMbcO0rFG1V1F0V0.jpg,ro,Cel mai iubit dintre pământeni,"The life-story confession of a prisoner waiting for his trial. Victor Petrini, a promising intellectual in the 1950s and a lecturer in Philosophy is arrested by the repressive secret police, wrongly accused of espionage, and sentenced to prison and forced labor.",1993-03-20,The verdict constitutes a brutal end to all his projects and ideals.,110,8.5,1627
National Theatre Live: Hamlet,tt4476736,https://image.tmdb.org/t/p/w500//3GLQDQ8WvIEXxLf5qOtUWokrcKd.jpg,en,,"Benedict Cumberbatch (BBC’s Sherlock, Doctor Strange) plays the title role of Shakespeare’s great tragedy.  Now seen by over 900,000 people worldwide, the original broadcast returns to international cinemas to mark National Theatre Live’s 10th birthday.  As a country arms itself for war, a family tears itself apart. Forced to avenge his father’s death but paralysed by the task ahead, Hamlet rages against the impossibility of his predicament, threatening both his sanity and the security of the state.",2015-10-15,,217,8.5,1955
The Lion King,tt0110357,https://image.tmdb.org/t/p/w500//sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,en,,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",1994-06-23,Life's greatest adventure is finding your place in the Circle of Life.,89,8.5,940837
Léon: The Professional,tt0110413,https://image.tmdb.org/t/p/w500//jtNOfwZu3zea5grnqpq4nyqXoID.jpg,en,,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,"If you want a job done well, hire a professional.",111,8.5,1033928
Belaseshe,tt4658770,https://image.tmdb.org/t/p/w500//9Vk11czZi8TUim4bOyxZIPgPByK.jpg,bn,,"A story of relationships that explores the intricacies of the married life, of life-long companionship, of promises and expectations and love.",2015-05-01,,141,8.5,2282
Shah,tt4899880,https://image.tmdb.org/t/p/w500/null,ur,شاہ,"This film covers the story of this Legend's journey from homeless child in the streets of Layari,Karachi to become Olympian for his country PAKISTAN.",2015-08-13,"After Every Fall, I Rise",109,8.5,1391
The Usual Suspects,tt0114814,https://image.tmdb.org/t/p/w500//bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,en,,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,Five Criminals. One Line Up. No Coincidence.,106,8.5,990113
Visaranai,tt4991384,https://image.tmdb.org/t/p/w500//8HbknP82NFye7GCsL8L9vyWzMUM.jpg,ta,விசாரணை,"Pandi and his friends, immigrant workers in Andhra Pradesh, are picked up by cops for a crime they never committed. And thus begins their nightmare, where they become pawns in a vicious game where the voiceless are strangled by those with power.",2016-02-04,Interrogation,118,8.5,7581
Iruvar,tt0119385,https://image.tmdb.org/t/p/w500//tyg4Fi9d6SzsemN8uhTuznKZUmD.jpg,ta,இருவர்,"A fictionalized account of the lives of 1980s Tamil Nadu political icons M. G. Ramachandran and M. Karunanidhi, continuing the tryst between Tamil cinema and Dravidian politics.",1997-01-14,,140,8.5,4811
American History X,tt0120586,https://image.tmdb.org/t/p/w500//c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg,en,,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-10-30,Some Legacies Must End.,119,8.5,1033722
Guru,tt0133826,https://image.tmdb.org/t/p/w500//4TUWBUul1BWqnadSOrknNWs9wUd.jpg,ml,ഗുരു,"Guru is a fantasy film. It is highly symbolic and makes a statement on terrorism by religions and the evils of the world. The story starts in small peaceful village in India. There is peace between the Hindus and the Muslims that live there. They all get along like family. Raghurāman (Mohanlal) is the son of the local Hindu temple's priest. When an ambitious politician's (NF Varghese) goons disguised as Muslims cause trouble at the local temple, tensions break out between the two communities. The tensions soon flame into a religious riot. Muslims and Hindus began killing each other for the sake of their own religions. Raghurāman joins Hindu gang which is about to attack a group of Muslims who have taken refuge in a guru's asram (a place where a holy guru lived and worked). But at a point Raghurāman has an out of the world experience in the asram.",1997-07-04,,150,8.5,2659
